POP,CXPB,MUTPB,BEST_MODULARITY,BEST_GEN
50,0.8,0.5,0.3989751682549652,2838
50,0.8,0.5,0.44239945285534454,2607
50,0.8,0.5,0.3659189555285295,1526
50,0.8,0.5,0.4441638346963161,3218
50,0.8,0.5,0.42175911264633337,2139
50,0.8,0.5,0.4010961521573094,2431
50,0.8,0.5,0.28373814763857585,1338
50,0.8,0.5,0.4364010868379244,2550
50,0.8,0.5,0.3333989764988597,1880
50,0.8,0.5,0.2889102081331882,1285
50,0.8,0.5,0.39492613813273586,1947
50,0.8,0.5,0.32533551197677296,2308
50,0.8,0.5,0.35022846482812575,1438
50,0.8,0.5,0.27854346686395093,994
50,0.8,0.5,0.3398816826294878,1448
50,0.8,0.5,0.33791637947781755,1589
50,0.8,0.5,0.42540763075187155,2295
50,0.8,0.5,0.40176278511532354,3067
50,0.8,0.5,0.325231724809657,1653
50,0.8,0.5,0.3344368481700194,2180
50,0.8,0.5,0.41109165471340103,2385
50,0.8,0.5,0.39134947268135484,2049
50,0.8,0.5,0.36873318448302017,2276
50,0.8,0.5,0.41504887311087396,2772
50,0.8,0.5,0.37006645039904834,2015
50,0.8,0.5,0.3417844473599472,1722
50,0.8,0.5,0.40876708829094477,2130
50,0.8,0.5,0.3663327735922868,2215
50,0.8,0.5,0.2769334351689469,1348
50,0.8,0.5,0.3549055403718774,2330
50,0.8,0.5,0.3776721869020595,2095
50,0.8,0.5,0.42126279709076586,1878
50,0.8,0.5,0.2712850181893664,1212
50,0.8,0.5,0.4085076203731548,2365
50,0.8,0.5,0.2665853223656023,803
50,0.8,0.5,0.20078558901878552,936
50,0.8,0.5,0.34018239929318284,1798
50,0.8,0.5,0.4072568519489367,2292
50,0.8,0.5,0.31306068355824984,1245
50,0.8,0.5,0.44072688273912963,2825
50,0.8,0.5,0.3829839608908665,2279
50,0.8,0.5,0.4421413155422613,2550
50,0.8,0.5,0.38912869342601436,1817
50,0.8,0.5,0.26786935590748573,964
50,0.8,0.5,0.4514967972344712,2742
50,0.8,0.5,0.2276145717182631,834
50,0.8,0.5,0.28557704334311773,1613
50,0.8,0.5,0.39623944497816477,3389
50,0.8,0.5,0.39418233010173803,2183
50,0.8,0.5,0.3858088346830101,2036
