POP,CXPB,MUTPB,BEST_MODULARITY,BEST_GEN
50,0.8,0.5,0.1396622837370242,1221
50,0.8,0.5,0.19355847750865052,2446
50,0.8,0.5,0.21208027681660901,2616
50,0.8,0.5,0.21339238754325263,3249
50,0.8,0.5,0.20681522491349483,2078
50,0.8,0.5,0.12674602076124564,655
50,0.8,0.5,0.19214117647058818,1317
50,0.8,0.5,0.19310173010380619,1594
50,0.8,0.5,0.13999446366782006,1035
50,0.8,0.5,0.14426574394463665,1245
50,0.8,0.5,0.15181453287197236,1035
50,0.8,0.5,0.1727058823529412,2045
50,0.8,0.5,0.20227820069204158,1632
50,0.8,0.5,0.16820761245674742,1620
50,0.8,0.5,0.19767197231833908,1928
50,0.8,0.5,0.1617799307958477,1180
50,0.8,0.5,0.17717093425605537,2303
50,0.8,0.5,0.17249273356401382,2072
50,0.8,0.5,0.16292041522491355,1363
50,0.8,0.5,0.1799335640138408,1670
50,0.8,0.5,0.2101840830449827,2385
50,0.8,0.5,0.22739377162629754,2735
50,0.8,0.5,0.18186574394463667,1228
50,0.8,0.5,0.18777577854671276,1377
50,0.8,0.5,0.18957785467128027,2070
50,0.8,0.5,0.17442768166089964,1201
50,0.8,0.5,0.19054671280276814,1386
50,0.8,0.5,0.18812179930795847,2105
50,0.8,0.5,0.15902283737024214,1350
50,0.8,0.5,0.17614117647058822,1162
50,0.8,0.5,0.1798892733564014,1758
50,0.8,0.5,0.20903529411764707,2324
50,0.8,0.5,0.1545494809688581,745
50,0.8,0.5,0.21072664359861593,2698
50,0.8,0.5,0.19421176470588236,2669
50,0.8,0.5,0.13448027681660898,808
50,0.8,0.5,0.2172899653979239,2924
50,0.8,0.5,0.15915017301038062,895
50,0.8,0.5,0.21965674740484428,2634
50,0.8,0.5,0.20540346020761246,2873
50,0.8,0.5,0.18370380622837368,1646
50,0.8,0.5,0.2064083044982699,3346
50,0.8,0.5,0.1753494809688582,1661
50,0.8,0.5,0.1679695501730104,1600
50,0.8,0.5,0.15849134948096882,1255
50,0.8,0.5,0.17581176470588236,1288
50,0.8,0.5,0.1813453287197232,1273
50,0.8,0.5,0.17891487889273355,1347
50,0.8,0.5,0.1891847750865052,1714
50,0.8,0.5,0.1622588235294118,1299
