POP,CXPB,MUTPB,MUTATION RATE,BEST_MODULARITY,BEST_GEN
50,0.8,0.4,0.05,0.3949704142,474
50,0.8,0.5,0.08,0.3949704142,658
50,0.8,0.5,0.1,0.3949704142,323
40,0.8,0.5,0.08,0.3949704142,465
60,0.8,0.5,0.08,0.3949704142,494
50,0.7,0.4,0.05,0.3948882314,371
50,0.7,0.4,0.05,0.3948882314,515
50,0.8,0.4,0.05,0.3948882314,232
50,0.8,0.5,0.1,0.3948882314,327
50,0.8,0.5,0.1,0.3948882314,351
50,0.8,0.5,0.1,0.3948882314,688
40,0.8,0.5,0.08,0.3948882314,592
40,0.8,0.5,0.08,0.3948882314,496
60,0.8,0.5,0.08,0.3948882314,601
50,0.8,0.4,0.05,0.3948882314,1266
50,0.8,0.5,0.08,0.3948882314,578
50,0.8,0.5,0.1,0.3948882314,404
50,0.8,0.5,0.1,0.3948882314,345
50,0.8,0.5,0.02,0.3946416831,219
50,0.8,0.4,0.05,0.3943951348,658
50,0.7,0.4,0.05,0.3943951348,529
50,0.8,0.4,0.05,0.3943951348,519
50,0.8,0.5,0.02,0.3943951348,1372
50,0.8,0.5,0.02,0.3943951348,474
40,0.8,0.5,0.08,0.3943951348,642
40,0.8,0.5,0.08,0.3943951348,737
50,0.8,0.5,0.02,0.3939020381,361
50,0.8,0.5,0.1,0.3939020381,600
50,0.8,0.4,0.05,0.3938198554,685
50,0.8,0.4,0.05,0.3927514793,509
40,0.8,0.5,0.08,0.3927514793,430
50,0.7,0.4,0.05,0.3921761999,209
50,0.8,0.5,0.1,0.3921761999,506
50,0.8,0.4,0.05,0.3914365549,184
50,0.8,0.5,0.1,0.3914365549,525
40,0.8,0.5,0.08,0.3914365549,463
40,0.8,0.5,0.08,0.3914365549,431
60,0.8,0.5,0.08,0.3914365549,212
50,0.8,0.4,0.05,0.3911078238,493
50,0.8,0.5,0.08,0.3911078238,1070
40,0.8,0.5,0.08,0.3911078238,435
40,0.8,0.5,0.08,0.3911078238,283
60,0.8,0.5,0.08,0.3911078238,455
50,0.8,0.5,0.1,0.3907790927,496
40,0.8,0.5,0.08,0.3901216305,260
60,0.8,0.5,0.08,0.389957265,287
50,0.8,0.5,0.02,0.3888888889,269
50,0.8,0.5,0.02,0.3886423406,478
40,0.8,0.5,0.08,0.388477975,366
40,0.8,0.5,0.08,0.388477975,203
50,0.8,0.5,0.1,0.3883136095,457
50,0.8,0.5,0.1,0.3878205128,451
40,0.8,0.5,0.08,0.386669954,622
50,0.8,0.5,0.08,0.3865055884,143
50,0.8,0.5,0.1,0.3865055884,697
50,0.7,0.4,0.05,0.3863412229,421
40,0.8,0.5,0.08,0.3862590401,724
50,0.7,0.4,0.05,0.3855193951,991
50,0.8,0.4,0.05,0.3855193951,866
50,0.8,0.4,0.05,0.3852728468,716
50,0.8,0.4,0.05,0.3852728468,619
50,0.8,0.5,0.08,0.3852728468,365
60,0.8,0.5,0.08,0.3852728468,1167
60,0.8,0.5,0.08,0.3852728468,525
50,0.7,0.4,0.05,0.3850262985,561
50,0.7,0.4,0.05,0.3845332018,336
50,0.8,0.4,0.05,0.3845332018,406
50,0.7,0.4,0.05,0.3845332018,820
50,0.7,0.4,0.05,0.3845332018,349
50,0.8,0.4,0.05,0.3845332018,317
50,0.8,0.5,0.02,0.3845332018,472
50,0.8,0.5,0.02,0.3845332018,343
50,0.8,0.5,0.02,0.3845332018,518
50,0.8,0.5,0.08,0.3845332018,354
50,0.8,0.5,0.08,0.3845332018,436
50,0.8,0.5,0.08,0.3845332018,542
50,0.8,0.5,0.1,0.3845332018,820
40,0.8,0.5,0.08,0.3845332018,320
40,0.8,0.5,0.08,0.3845332018,641
60,0.8,0.5,0.08,0.3845332018,364
60,0.8,0.5,0.08,0.3845332018,268
60,0.8,0.5,0.08,0.3845332018,407
50,0.8,0.5,0.08,0.3842866535,364
50,0.8,0.4,0.05,0.3838757396,349
50,0.8,0.5,0.1,0.3838757396,380
50,0.8,0.5,0.08,0.3837113741,783
50,0.8,0.5,0.1,0.3837113741,610
60,0.8,0.5,0.08,0.3837113741,343
50,0.7,0.4,0.05,0.3836291913,800
50,0.7,0.4,0.05,0.3836291913,793
50,0.8,0.5,0.08,0.3836291913,742
60,0.8,0.5,0.08,0.3836291913,786
60,0.8,0.5,0.08,0.3836291913,478
50,0.7,0.4,0.05,0.3836291913,220
50,0.8,0.5,0.08,0.3835470085,390
50,0.8,0.5,0.08,0.3835470085,435
50,0.8,0.5,0.08,0.3835470085,464
40,0.8,0.5,0.08,0.3835470085,334
50,0.8,0.5,0.08,0.383382643,506
50,0.8,0.5,0.08,0.383382643,518
50,0.8,0.5,0.1,0.383382643,737
40,0.8,0.5,0.08,0.383382643,741
40,0.8,0.5,0.08,0.383382643,745
60,0.8,0.5,0.08,0.383382643,340
60,0.8,0.5,0.08,0.383382643,451
50,0.7,0.4,0.05,0.3833004602,1116
50,0.8,0.5,0.08,0.3833004602,333
50,0.8,0.5,0.1,0.382642998,557
